file,M_num,phase,brand,technology,mount,vintage,status,soiling_loss_pct,ci_low_pct,ci_high_pct,soiling_ratio,n_days
105-Site_DKA-M1_C-Phase.csv,1,C,Trina,mono-Si,Dual,2009,ok,10.519992108373089,9.39484529345499,11.469636333615284,0.8948000789162691,4645.0
212-Site_DKA-M15_C-Phase_II.csv,15,C,Archived UMG,unknown,Fixed,2010,ok,3.590255646101359,3.2776173961171606,3.9090061463694092,0.9640974435389864,3520.0
54-Site_DKA-M15_C-Phase.csv,15,C,Archived UMG,unknown,Fixed,2010,short_clean(n=631),,,,,
57-Site_DKA-M16_A-Phase.csv,16,A,BP Solar,poly-Si,Fixed,2008,short_clean(n=446),,,,,
59-Site_DKA-M19_C-Phase.csv,19,C,Sungrid,mono-Si,Fixed,2010,ok,3.6155234767276223,3.173317420456534,3.9793270268015823,0.9638447652327238,2209.0
64-Site_DKA-M17_B-Phase.csv,17,B,Sanyo,HIT,Fixed,2010,ok,3.9851825612113423,3.6293547532872283,4.44731186327153,0.9601481743878866,3524.0
70-Site_DKA-M5_A-Phase.csv,5,A,Kyocera,poly-Si,Single,2008,ok,3.485504165248965,3.1948954270703545,3.8094461481202213,0.9651449583475104,4464.0
71-Site_DKA-M2_C-Phase.csv,2,C,eco-Kinetics,mono-Si,Dual,2010,ok,3.3162934794822574,3.112576041785964,3.5770299086728463,0.9668370652051774,4477.0
78-Site_DKA-M11_3-Phase.csv,11,3,BP Solar,poly-Si,Fixed,2008,ok,5.084661600116691,4.74141504249409,5.573010128367473,0.9491533839988331,4645.0
81-Site_DKA-M2_A-Phase.csv,2,A,eco-Kinetics,mono-Si,Dual,2010,ok,9.311568262339565,8.415376949617048,10.253653775156968,0.9068843173766044,4477.0
84-Site_DKA-M5_B-Phase.csv,5,B,Kyocera,poly-Si,Single,2008,ok,3.829625872813258,3.4073133323421545,4.2596960542254925,0.9617037412718674,4464.0
85-Site_DKA-M7_A-Phase.csv,7,A,First Solar,CdTe,Fixed,2008,ok,3.148412229887554,2.906807676497347,3.477111317266124,0.9685158777011245,4464.0
90-Site_DKA-M3_A-Phase.csv,3,A,BP Solar,poly-Si,Fixed-roof,2008,ok,3.8670408460806494,3.475039908422606,4.24393348849973,0.9613295915391935,4477.0
92-Site_DKA-M6_B-Phase.csv,6,B,Kyocera,poly-Si,Dual,2008,ok,3.973418058110423,3.635858431337302,4.370047327949267,0.9602658194188958,4464.0
93-Site_DKA-M4_A-Phase.csv,4,A,Kyocera,poly-Si,Dual,2008,ok,4.932003797163365,4.592196473345023,5.3746700722412495,0.9506799620283664,4477.0
