a,b,jaccard,n_a,n_b
M1_C,M15_C,0.15606936416184972,241,159
M1_C,M19_C,0.11875,241,117
M1_C,M17_B,0.17134831460674158,241,176
M1_C,M5_A,0.1796875,241,212
M1_C,M2_C,0.16489361702127658,241,197
M1_C,M11_3,0.17661691542288557,241,232
M1_C,M2_A,0.1687041564792176,241,237
M1_C,M5_B,0.15270935960591134,241,227
M1_C,M7_A,0.17941952506596306,241,206
M1_C,M3_A,0.19298245614035087,241,235
M1_C,M6_B,0.21204188481675393,241,222
M1_C,M4_A,0.20270270270270271,241,204
M15_C,M19_C,0.3869346733668342,159,117
M15_C,M17_B,0.6028708133971292,159,176
M15_C,M5_A,0.37407407407407406,159,212
M15_C,M2_C,0.45901639344262296,159,197
M15_C,M11_3,0.2532051282051282,159,232
M15_C,M2_A,0.2336448598130841,159,237
M15_C,M5_B,0.2532467532467532,159,227
M15_C,M7_A,0.2673611111111111,159,206
M15_C,M3_A,0.2389937106918239,159,235
M15_C,M6_B,0.29152542372881357,159,222
M15_C,M4_A,0.18627450980392157,159,204
M19_C,M17_B,0.35648148148148145,117,176
M19_C,M5_A,0.2952755905511811,117,212
M19_C,M2_C,0.31932773109243695,117,197
M19_C,M11_3,0.17114093959731544,117,232
M19_C,M2_A,0.1760797342192691,117,237
M19_C,M5_B,0.2112676056338028,117,227
M19_C,M7_A,0.2188679245283019,117,206
M19_C,M3_A,0.18518518518518517,117,235
M19_C,M6_B,0.26022304832713755,117,222
M19_C,M4_A,0.16304347826086957,117,204
M17_B,M5_A,0.3710247349823322,176,212
M17_B,M2_C,0.41825095057034223,176,197
M17_B,M11_3,0.25153374233128833,176,232
M17_B,M2_A,0.22916666666666666,176,237
M17_B,M5_B,0.2515527950310559,176,227
M17_B,M7_A,0.2691029900332226,176,206
M17_B,M3_A,0.2195845697329377,176,235
M17_B,M6_B,0.31353135313531355,176,222
M17_B,M4_A,0.1875,176,204
M5_A,M2_C,0.4201388888888889,212,197
M5_A,M11_3,0.3333333333333333,212,232
M5_A,M2_A,0.2792022792022792,212,237
M5_A,M5_B,0.34662576687116564,212,227
M5_A,M7_A,0.3795379537953795,212,206
M5_A,M3_A,0.3463855421686747,212,235
M5_A,M6_B,0.41368078175895767,212,222
M5_A,M4_A,0.27607361963190186,212,204
M2_C,M11_3,0.27299703264094954,197,232
M2_C,M2_A,0.2471264367816092,197,237
M2_C,M5_B,0.3126934984520124,197,227
M2_C,M7_A,0.3614864864864865,197,206
M2_C,M3_A,0.37142857142857144,197,235
M2_C,M6_B,0.40604026845637586,197,222
M2_C,M4_A,0.2610062893081761,197,204
M11_3,M2_A,0.2245430809399478,232,237
M11_3,M5_B,0.25753424657534246,232,227
M11_3,M7_A,0.30357142857142855,232,206
M11_3,M3_A,0.2553763440860215,232,235
M11_3,M6_B,0.3159420289855073,232,222
M11_3,M4_A,0.24571428571428572,232,204
M2_A,M5_B,0.1867007672634271,237,227
M2_A,M7_A,0.2443820224719101,237,206
M2_A,M3_A,0.2010178117048346,237,235
M2_A,M6_B,0.2857142857142857,237,222
M2_A,M4_A,0.225,237,204
M5_B,M7_A,0.36163522012578614,227,206
M5_B,M3_A,0.26575342465753427,227,235
M5_B,M6_B,0.28653295128939826,227,222
M5_B,M4_A,0.2140845070422535,227,204
M7_A,M3_A,0.29705882352941176,206,235
M7_A,M6_B,0.3762057877813505,206,222
M7_A,M4_A,0.28125,206,204
M3_A,M6_B,0.3057142857142857,235,222
M3_A,M4_A,0.22284122562674094,235,204
M6_B,M4_A,0.2909090909090909,222,204
