M_num,phase,n_years,mean_pct_day,slope_pct_day_per_yr,p_value,verdict
1,C,8,0.406706570596058,0.008684085036557977,0.36508539014961516,flat
2,A,10,0.4849535784874635,0.04802748626812822,0.1918735397783643,flat
2,C,13,0.17006825677449958,-0.010500314096993039,0.11506495943190265,flat
3,A,12,0.23026518974703103,-7.068659672716941e-05,0.9927489072279528,flat
4,A,11,0.22465123771625548,-0.004071850122557693,0.5166994396891859,flat
5,A,13,0.23294648153835257,-0.007315139847375404,0.19779994409377397,flat
5,B,11,0.20006925348195742,0.005337439828789551,0.7148540338550684,flat
6,B,13,0.2647181272738681,-0.0019727294695342508,0.8177465313251449,flat
7,A,11,0.17279385038049083,-0.00315667817926407,0.6524210514877224,flat
11,3,9,0.22196755045068262,0.011625215706194238,0.17634696637527378,flat
15,C,10,0.24095775811147968,-0.007602856225626253,0.6038948926460247,flat
17,B,10,0.2620832135727872,0.0008949928546558295,0.9585778278544497,flat
19,C,6,0.2080010119421526,0.011708679547059675,0.6396773890125982,flat
