K_min_systems,n_consensus_days,n_rain_aligned,pct_rain_aligned,lift_vs_baseline
1,1632,1161,71.13970588235294,1.0030057631160574
2,1204,870,72.25913621262458,1.0187887222770944
3,916,675,73.68995633187772,1.0389619969314292
4,696,521,74.85632183908046,1.0554066998032516
5,541,416,76.89463955637707,1.0841451432948659
6,412,317,76.94174757281553,1.0848093238869938
7,314,235,74.84076433121018,1.0551873529580535
8,232,177,76.29310344827587,1.0756640260950607
9,175,137,78.28571428571428,1.1037580437580436
10,118,100,84.7457627118644,1.1948389067033134
11,83,69,83.13253012048193,1.1720937805275156
12,61,52,85.24590163934425,1.201890415005169
13,40,33,82.5,1.1631756756756757
14,27,24,88.88888888888889,1.2532532532532532
15,20,19,95.0,1.3394144144144144
16,12,11,91.66666666666666,1.2924174174174174
17,3,3,100.0,1.40990990990991
18,0,0,0.0,
19,0,0,0.0,
