K,n_days,n_rainy,pct,lift,baseline_pct,p_one_sided_low,p_one_sided_high,p_two_sided,fuzz
1,1166,111,9.519725557461406,1.1880463951751232,8.01292407108239,0.9719726975096371,0.03528082800309129,0.07056165600618258,0
8,45,4,8.88888888888889,1.1093189964157708,8.01292407108239,0.7086658777595052,0.49138256259967794,0.9827651251993559,0
11,18,0,0.0,0.0,8.01292407108239,0.22237330369978847,1.0,0.44474660739957694,0
12,16,0,0.0,0.0,8.01292407108239,0.26280221460420644,1.0,0.5256044292084129,0
13,14,0,0.0,0.0,8.01292407108239,0.31058136409267667,1.0,0.6211627281853533,0
1,2254,378,16.77018633540373,1.0950153313939777,15.315024232633279,0.9731723193454612,0.030565148808046727,0.061130297616093454,1
8,222,56,25.225225225225223,1.6470901281027863,15.315024232633279,0.9999552228769739,8.700244812942515e-05,0.0001740048962588503,1
11,76,19,25.0,1.632383966244726,15.315024232633279,0.9907877078564198,0.018868044794975947,0.03773608958995189,1
12,51,5,9.803921568627452,0.6401505749979317,15.315024232633279,0.18656443500531938,0.9079668280130033,0.37312887001063877,1
13,42,2,4.761904761904762,0.3109302792847097,15.315024232633279,0.03413385951916663,0.9920174374023715,0.06826771903833326,1
1,2867,621,21.660272061388213,1.0258384396326934,21.11470113085622,0.7705473815114736,0.2434727633011553,0.4869455266023106,2
8,415,141,33.97590361445783,1.6091112729418053,21.11470113085622,0.9999999995158593,9.475447093620915e-10,1.895089418724183e-09,2
11,154,59,38.311688311688314,1.81445562853367,21.11470113085622,0.9999996436904195,8.562768878395133e-07,1.7125537756790266e-06,2
12,93,27,29.03225806451613,1.374978404126663,21.11470113085622,0.9736879721406183,0.0443391037195191,0.0886782074390382,2
13,62,10,16.129032258064516,0.7638768911814794,21.11470113085622,0.21315310072167587,0.870240024209652,0.42630620144335174,2
1,3266,846,25.90324556031843,0.9879303143460941,26.219709208400648,0.34877832808997467,0.6658591812621926,0.6975566561799493,3
8,627,259,41.30781499202552,1.5754490129429326,26.219709208400648,0.9999999999999999,2.220446049250313e-16,4.440892098500626e-16,3
11,241,117,48.54771784232365,1.851573465458924,26.219709208400648,0.9999999999999614,1.0458300891968975e-13,2.091660178393795e-13,3
12,149,60,40.26845637583892,1.5358086566016198,26.219709208400648,0.999934498511871,0.00012966653864410205,0.0002593330772882041,3
13,86,21,24.418604651162788,0.9313072260671451,26.219709208400648,0.4057230694468563,0.686946263873854,0.8114461388937126,3
